cell_type;metabolite;mean;std_dev
BJ-TERT;hcys;127.1;5.41
BJ-TERT;met;2.7;0.23
BJ-TERT;sam;15.8;5.74
BJ-TERT;sah;5.3;0.08
BJ-TERT;cyst;34.1;4.89
BJ-TERT;metp;23500;2350
BJ-TERT;akb;1000;1000
BJ-RAS;hcys;205;8.7
BJ-RAS;met;2.3;0.12
BJ-RAS;sam;28.8;6.11
BJ-RAS;sah;7;0.18
BJ-RAS;cyst;19;1.07
BJ-RAS;metp;23500;2350
BJ-RAS;akb;1000;1000
